1724177574414,226.96,1
1724177574423,226.96,15
1724177574537,226.9677,13
1724177574543,226.9677,1
1724177574633,226.95,1
1724177574751,226.9688,1
1724177574814,226.9501,100
1724177575023,226.96,6
1724177575137,226.95,1
1724177575209,226.96,200
1724177575262,226.9512,1
1724177575377,226.94,1
1724177575590,226.9501,1
1724177575893,226.9534,66
1724177576122,226.96,1
1724177576284,226.9688,1
1724177576447,226.97,1
1724177576550,226.95,2
1724177576553,226.95,1
1724177576789,226.96,100
1724177576795,226.97,100
1724177576867,226.962,1
1724177576900,226.97,1
1724177576992,226.9529,2
1724177577118,226.9529,2
1724177577463,226.96,1
1724177577464,226.96,2
1724177577475,226.96,1
1724177577814,226.95,1
1724177578098,226.96,2
1724177578098,226.96,2
1724177578100,226.955,12
1724177578233,226.9529,4
1724177578502,226.96,98
1724177578538,226.9621,7
1724177578619,226.96,100
1724177578627,226.9501,48
1724177578805,226.95,69
1724177578835,226.9688,1
1724177579230,226.96,4
1724177579254,226.9634,8
1724177579357,226.9504,10
1724177579521,226.95,8
1724177580390,226.96,10
1724177581405,226.9688,1
1724177582043,226.96,100
1724177582093,226.96,1
1724177582099,226.96,6
1724177582118,226.97,1
1724177581979,226.96,15
1724177582201,226.96,2
1724177583144,226.96,1
1724177583145,226.96,199
1724177583187,226.96,1
1724177583195,226.95,40
1724177583195,226.95,5
1724177583195,226.95,124
1724177583218,226.96,100
1724177583219,226.96,100
1724177583219,226.96,20
1724177583219,226.96,100
1724177583219,226.96,5
1724177583219,226.96,2
1724177583220,226.96,100
1724177583220,226.96,20
1724177583227,226.96,100
1724177583236,226.9584,5
1724177583241,226.969,373
1724177583334,226.951,69
1724177583334,226.951,59
1724177584216,226.965,29
1724177584216,226.965,2
1724177584224,226.96,1
1724177584224,226.96,1
1724177584224,226.96,1
1724177584224,226.96,40
1724177584224,226.96,24
1724177583446,226.9688,1
1724177583463,226.96,14
1724177584269,226.9658,2
1724177583683,226.9601,10
1724177583760,226.96,300
1724177583848,226.965,118
1724177583848,226.965,40
1724177583848,226.965,40
1724177584142,226.965,277
1724177584143,226.96,40
1724177584144,226.96,39
1724177584144,226.96,21
1724177584144,226.96,19
1724177584195,226.965,1
1724177584461,226.965,1
1724177584470,226.965,1
1724177584788,226.969,3
1724177584788,226.969,18
1724177585352,226.9609,2
1724177585379,226.965,8
1724177585400,226.9601,30
1724177585487,226.9688,1
1724177585510,226.965,2
1724177585863,226.964,500
1724177586414,226.9612,1
1724177586851,226.9601,1
1724177586858,226.97,40
1724177586858,226.97,60
1724177587264,226.969,8
1724177587353,226.9602,1
1724177588303,226.8745,3
1724177587826,226.965,6
1724177588377,226.9699,10
1724177588630,226.965,1
1724177588679,226.965,1
1724177588801,226.9605,3
1724177589035,226.97,14
1724177589047,226.965,23
1724177589058,226.9688,1
1724177589365,226.96,48
1724177993411,226.955,100
1724177993525,226.9588,1
1724177994396,226.9599,2
1724177994405,226.955,100
